table,task,model,field,stat,point,ci_lo,ci_hi,n_groups,n_rows
faithfulness1b,PickCube,1b_s42,vision_insertion_auc,median,0.926062598300823,0.8954088798049846,0.9599650388507172,20,320
faithfulness1b,PickCube,1b_s42,vision_deletion_auc,median,0.24762063154432007,0.15022114656596014,0.29616520853241113,20,320
faithfulness1b,PickCube,1b_s42,vision_dlogp_k5,median,-0.000156662063091062,-0.00023296312429010868,-0.00011033413466066122,20,320
faithfulness1b,PickCube,1b_s42,lang_insertion_auc,median,0.5620666092052281,0.2937747500524086,0.6758806961112643,20,320
faithfulness1b,PickCube,1b_s42,lang_deletion_auc,median,0.28258985797530994,0.11838141867498184,0.4268050253970406,20,320
faithfulness1b,PickCube,1b_s42,lang_dlogp_k5,median,-8.610296572442167e-05,-0.00016540882643312216,-2.954658521048259e-05,20,320
faithfulness1b,PickCube,1b_s142,vision_insertion_auc,median,0.9371899999929072,0.9196108802670507,0.9541787483887041,20,480
faithfulness1b,PickCube,1b_s142,vision_deletion_auc,median,0.29256084284405787,0.23615800327245245,0.3287298294331419,20,480
faithfulness1b,PickCube,1b_s142,vision_dlogp_k5,median,-0.00012427843466866761,-0.00014954886864870787,-9.711488746688701e-05,20,480
faithfulness1b,PickCube,1b_s142,lang_insertion_auc,median,0.5825805462048459,0.40037968046355976,0.6831336927016287,20,480
faithfulness1b,PickCube,1b_s142,lang_deletion_auc,median,0.3191039306425905,0.23001912132073912,0.3795088676778351,20,480
faithfulness1b,PickCube,1b_s142,lang_dlogp_k5,median,-0.00013024144573137164,-0.00023063937260303646,-7.682602154091e-05,20,480
faithfulness1b,PickCube,1b_s242,vision_insertion_auc,median,0.953847532310126,0.9303167081989658,0.9689153607435949,20,399
faithfulness1b,PickCube,1b_s242,vision_deletion_auc,median,0.31418924282324856,0.24474380000552037,0.35205522440733283,20,399
faithfulness1b,PickCube,1b_s242,vision_dlogp_k5,median,-0.00018221489153802395,-0.0002453560591675341,-0.00012224758393131196,20,399
faithfulness1b,PickCube,1b_s242,lang_insertion_auc,median,0.5187369638886095,0.41785608514662476,0.5991231073124991,20,399
faithfulness1b,PickCube,1b_s242,lang_deletion_auc,median,0.13777178140137816,0.027357344405177616,0.27800259878516825,20,399
faithfulness1b,PickCube,1b_s242,lang_dlogp_k5,median,-0.00013821996981278062,-0.0002241171896457672,-9.294110350310802e-05,20,399
faithfulness1b,PickCube,1b_pooled,vision_insertion_auc,median,0.939869317179501,0.9263839666477361,0.953847532310126,60,1199
faithfulness1b,PickCube,1b_pooled,vision_deletion_auc,median,0.2881651617000851,0.2496787534658607,0.31235632381237843,60,1199
faithfulness1b,PickCube,1b_pooled,vision_dlogp_k5,median,-0.0001463710650568828,-0.0001793231931515038,-0.00012201914796605706,60,1199
faithfulness1b,PickCube,1b_pooled,lang_insertion_auc,median,0.5412931849923831,0.4485493048627283,0.6047433699908243,60,1199
faithfulness1b,PickCube,1b_pooled,lang_deletion_auc,median,0.2671950827223377,0.1868390805950814,0.32738303268537444,60,1199
faithfulness1b,PickCube,1b_pooled,lang_dlogp_k5,median,-0.00012174999574199319,-0.00016540882643312216,-9.172712452709675e-05,60,1199
